fight_date,bout_id,has_title,rounds_scheduled,star_rating,fight_city,fight_region,fight_country,fight_venue,f_a_name,f_a_age,f_a_stance,f_a_is_southpaw,f_a_is_home,f_a_total_fights,f_a_total_wins,f_a_opponents_koed,f_a_win_ratio,f_a_ko_ratio,f_a_stopped_rate,f_a_kod_rate,f_a_rtd_rate,f_a_opp_win_pct,f_a_amateur_bouts,f_a_amateur_win_pct,f_a_ring_rust,f_a_career_len,f_a_fights_per_year,f_a_weight_shift,f_a_win_streak,f_a_loss_streak,f_a_last_5_ko,f_a_last_5_won,f_a_last_5_lost,f_a_weighted_wins,f_a_weighted_kos,f_a_weight_kg,f_a_height_cm,f_a_reach_cm,f_b_name,f_b_age,f_b_stance,f_b_is_southpaw,f_b_is_home,f_b_total_fights,f_b_total_wins,f_b_opponents_koed,f_b_win_ratio,f_b_ko_ratio,f_b_stopped_rate,f_b_kod_rate,f_b_rtd_rate,f_b_opp_win_pct,f_b_amateur_bouts,f_b_amateur_win_pct,f_b_ring_rust,f_b_career_len,f_b_fights_per_year,f_b_weight_shift,f_b_win_streak,f_b_loss_streak,f_b_last_5_ko,f_b_last_5_won,f_b_last_5_lost,f_b_weighted_wins,f_b_weighted_kos,f_b_weight_kg,f_b_height_cm,f_b_reach_cm,is_rematch,f_a_prev_win_vs_opp,stance_matchup,fights_diff,weighted_win_diff,momentum_diff,opp_win_pct_diff,fights_per_year_diff,opponents_koed_diff,ko_rate_diff,stopped_rate_diff,age_diff,age_squared_diff,height_diff,reach_diff,f_a_country_adv,f_a_hometown_adv,f_b_country_adv,f_b_hometown_adv,hometown_adv_diff,raw_result,target_fighter_a_won,target_is_stoppage
2025-11-22,3484592,0,8,0,TAGBILARAN CITY,BOHOL,PHILIPPINES,,VIRGEL VITOR,28.0,O,0,1.0,27.0,23,16,0.852,0.593,0.074,0.074,0.0,0.527,0.0,0.0,258,11.02,2.45,0.0899999999999963,1,0,3,3,2,1.63,1.56,59.47,168.0,0.0,ALVEN VERGARA,28.0,O,0,1.0,13.0,8,6,0.615,0.462,0.231,0.231,0.0,0.348,0.0,0.0,286,7.43,1.75,-1.5900000000000034,0,2,2,2,3,0.77,0.63,59.33,0.0,0.0,0,0,O vs O,14.0,0.87,1,0.179,0.701,10,0.131,-0.157,0.0,0.0,,,1,1,0,0,1,W,1,1
2025-11-15,3499898,0,8,1,SAN LUIS POTOSI,SAN LUIS POTOSÍ,MEXICO,ARENA COLISEO,ULISES SUAREZ ORTEGA,26.0,O,0,1.0,26.0,13,7,0.5,0.269,0.077,0.077,0.0,0.741,0.0,0.0,43,10.74,2.42,-4.700000000000003,0,2,1,2,3,1.69,0.56,57.0,0.0,0.0,JONATHAN JAVIER FIERRO DE SANTIAGO,22.0,,0,1.0,20.0,19,16,0.95,0.8,0.0,0.0,0.0,0.5,3.0,1.0,126,6.08,3.29,-1.1999999999999957,6,0,3,5,0,3.38,1.93,57.1,173.0,0.0,0,0,O vs Unknown,6.0,-1.69,-6,0.241,-0.87,-9,-0.531,0.077,4.0,16.0,,,0,0,1,0,0,L,0,1
2025-11-14,3478545,0,8,1,CLEARWATER,FLORIDA,USA,OCC ROAD HOUSE AND MUSEUM,EDWARD VAZQUEZ,30.0,O,0,1.0,21.0,17,4,0.81,0.19,0.048,0.048,0.0,0.658,1.0,0.0,194,9.74,2.16,3.539999999999999,0,1,1,3,2,1.6,0.6,60.51,170.0,165.0,ALBEIRO PAREDES,28.0,O,0,0.0,15.0,14,12,0.933,0.8,0.067,0.067,0.0,0.449,11.0,0.455,112,6.36,2.36,-0.2700000000000031,0,1,3,4,1,4.04,3.18,60.33,169.0,0.0,0,0,O vs O,6.0,-2.44,0,0.209,-0.202,-8,-0.61,-0.019,2.0,4.0,1.0,,1,0,0,0,0,W,1,1
2025-11-13,3450895,0,10,2,MONTREAL,QUEBEC,CANADA,MONTREAL CASINO,PEDRO MANUEL GOMES,34.0,S,1,0.0,16.0,13,3,0.813,0.188,0.0,0.0,0.0,0.386,11.0,0.455,117,7.37,2.17,-1.0899999999999963,4,0,1,4,1,1.8,0.29,61.6,170.0,0.0,LUIS SANTANA,27.0,O,0,1.0,14.0,14,7,1.0,0.5,0.0,0.0,0.0,0.668,87.0,0.793,139,5.02,2.79,0.05000000000000426,14,0,4,5,0,2.89,1.91,61.6,168.0,0.0,0,0,S vs O,2.0,-1.09,-10,-0.282,-0.621,-4,-0.313,0.0,7.0,49.0,2.0,,0,0,1,1,-1,L,0,0
2025-11-07,3479315,1,12,2,MANAGUA,,NICARAGUA,POLIDEPORTIVO ESPANA,ERICK ENCINIA,30.0,,0,0.0,32.0,21,9,0.656,0.281,0.125,0.125,0.0,0.644,0.0,0.0,34,12.94,2.47,-2.270000000000003,1,0,2,4,1,3.05,1.83,61.23,0.0,0.0,FRANCISCO FONSECA,31.0,O,0,0.0,43.0,37,29,0.86,0.674,0.047,0.047,0.0,0.556,0.0,0.0,91,11.88,3.62,0.35999999999999943,6,0,3,5,0,3.34,1.83,61.14,171.0,177.0,1,0,Unknown vs O,-11.0,-0.29,-5,0.087,-1.146,-20,-0.393,0.078,-1.0,1.0,,,0,0,1,0,0,L,0,1
2025-11-01,3441407,1,10,3,JOHANNESBURG,GAUTENG,SOUTH AFRICA,GALLERIA EVENTS VENUE,CLAUDIO GABRIEL DANEFF,29.0,S,1,0.0,28.0,23,10,0.821,0.357,0.036,0.036,0.0,0.607,0.0,0.0,169,8.47,3.3,-1.8999999999999986,2,0,1,4,1,2.94,1.1,61.2,175.0,0.0,KAINE FOURIE,0.0,O,0,1.0,14.0,11,9,0.786,0.643,0.071,0.071,0.0,0.76,0.0,0.0,92,4.87,2.87,-0.12999999999999545,2,0,4,4,1,3.66,3.51,61.1,176.0,0.0,0,0,S vs O,14.0,-0.73,0,-0.153,0.43,1,-0.286,-0.036,,,-1.0,,0,0,0,0,0,W,1,1
2025-11-01,3463147,0,10,1,,TOKYO,JAPAN,KORAKUEN HALL,KENICHI OGAWA,37.0,O,0,1.0,34.0,30,21,0.882,0.618,0.059,0.059,0.0,0.723,0.0,0.0,210,15.51,2.19,0.9000000000000057,4,0,3,4,1,1.67,1.33,59.7,173.0,0.0,PRESCO CARCOSIA,29.0,O,0,0.0,19.0,13,9,0.684,0.474,0.158,0.105,0.053,0.535,10.0,0.8,234,7.46,2.55,-1.5499999999999972,1,0,0,2,3,1.27,0.18,59.5,168.0,175.0,0,0,O vs O,15.0,0.4,3,0.188,-0.356,12,0.144,-0.099,8.0,64.0,5.0,,1,0,0,0,0,W,1,1
2025-11-01,3480012,1,12,0,CHIVHU,,ZIMBABWE,PHIL-JEN COUNTRY LODGE,YOHANI BANDA,35.0,O,0,0.0,21.0,9,3,0.429,0.143,0.238,0.238,0.0,0.651,0.0,0.0,63,9.43,2.23,-0.29999999999999716,0,3,1,1,3,0.28,0.15,61.0,0.0,0.0,SIMON NGOMA,26.0,,0,0.0,13.0,11,6,0.846,0.462,0.0,0.0,0.0,0.702,0.0,0.0,97,7.95,1.64,0.0,3,0,2,4,1,2.95,1.51,61.2,0.0,0.0,0,0,O vs Unknown,8.0,-2.67,-3,-0.051,0.593,-3,-0.319,0.238,9.0,81.0,,,0,0,0,0,0,L,0,1
2025-10-31,3489398,0,6,1,GABORONE,,BOTSWANA,GRAND PALM HOTEL,PRINCE DLOMO,36.0,O,0,0.0,32.0,17,6,0.531,0.188,0.156,0.156,0.0,0.72,0.0,0.0,137,14.33,2.23,-4.400000000000006,0,2,1,2,3,0.55,0.13,63.0,172.0,0.0,KUTLWANO OGAKETSE,28.0,O,0,1.0,13.0,7,0,0.538,0.0,0.077,0.077,0.0,0.581,3.0,0.333,146,8.05,1.61,3.0,0,3,0,2,3,0.2,0.0,65.2,169.0,177.0,0,0,O vs O,19.0,0.36,0,0.138,0.619,6,0.188,0.079,8.0,64.0,3.0,,0,0,1,1,-1,L,0,0
2025-10-29,3456422,1,10,1,BOGOTA,,COLOMBIA,AGORA CONVENTION CENTER,ESTEBAN GARZON,25.0,,0,1.0,11.0,11,5,1.0,0.455,0.0,0.0,0.0,0.576,0.0,0.0,96,3.48,3.16,0.5900000000000034,11,0,2,5,0,3.46,1.13,61.1,0.0,0.0,MIGUEL QUELIZ SANTOS,24.0,,0,0.0,13.0,11,5,0.846,0.385,0.077,0.077,0.0,0.63,0.0,0.0,47,3.27,3.97,-1.3200000000000003,1,0,3,3,1,3.02,2.08,60.55,0.0,0.0,0,0,Unknown vs Unknown,-2.0,0.44,10,-0.055,-0.812,0,0.07,-0.077,1.0,1.0,,,1,1,0,0,1,W,1,1
